authors,publication_date,research_orgs,product_type,article_type,journal_name
"""zhang, Wei-Ran [Xi’an Rare Metal Materials Institute Co. Ltd, Xi’an 710016, China]"",""Liao, Wei-Bing [College of Physics and Optoelectronic Engineering, Shenzhen University, Shenzhen 518060, China]"",""Liaw, Peter K. [University of Tennessee, Knoxville (UTK)]"",""Ren, Jing-Li [Henan Academy of Big Data, Zhengzhou University, Zhengzhou 450052, China]"",""Brechtl, Jamieson [ORNL]"",""Zhang, Yong [University of Science and Technology Beijing, China]""",2022-10-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Journal of Alloys and Compounds
"""Andersson, Anders David Ragnar [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000158631372)"",""Beeler, B. W. [North Carolina State Univ., Raleigh, NC (United States); Idaho National Lab. (INL), Idaho Falls, ID (United States)] (ORCID:0000000319641177)""",2022-09-01T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)"",""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Journal Article,Accepted Manuscript,Journal of Nuclear Materials
"""Kearney, Sarah [University of Sheffield, UK]"",""Tajuelo Rodriguez, Elena [ORNL] (ORCID:0000000321520067)"",""Arregui Mena, Jose' [ORNL] (ORCID:0000000261313268)"",""Lawson, Sebastian [University of Sheffield, UK]"",""Provis, John [University of Sheffield, UK]""",2022-09-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Cement and Concrete Research
"""Reiser, Joelle TG [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Lawter, Amanda R. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Avalos, Nancy M. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Bonnett, Jeff F. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Riley, Brian J. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000277456730)"",""Chong, Saehwa [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Canfield, Nathan L. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Saslow, Sarah A. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000283852676)"",""Bourchy, Agathe LM [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)]"",""Asmussen, Robert M. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000159777728)""",2022-08-15T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Accepted Manuscript,Chemical Engineering Journal Advances
"""Ma, Hao [Materials Science and Technology Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, USA] (ORCID:0000000261400089)"",""Bryan, Matthew S. [Materials Science and Technology Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, USA]"",""Pang, Judy W. L. [Materials Science and Technology Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, USA]"",""Abernathy, Douglas L. [Neutron Scattering Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, USA] (ORCID:000000023533003X)"",""Antonio, Daniel J. [Idaho National Laboratory, Idaho Falls, Idaho 83415, USA]"",""Gofryk, Krzysztof [Idaho National Laboratory, Idaho Falls, Idaho 83415, USA] (ORCID:0000000286816857)"",""Manley, Michael E. [Materials Science and Technology Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, USA] (ORCID:0000000340539986)""",2022-07-04T00:00:00Z,,Journal Article,Publisher's Accepted Manuscript,Applied Physics Letters
"""Youinou, Gilles J. [Idaho National Lab. (INL), Idaho Falls, ID (United States] (ORCID:0000000159641759)"",""Lin, Ching-Sheng [Idaho National Lab. (INL), Idaho Falls, ID (United States)] (ORCID:000000022325165X)""",2022-07-01T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Journal Article,Accepted Manuscript,Progress in Nuclear Energy
"""Colliard, Ian [Oregon State Univ., Corvallis, OR (United States)] (ORCID:0000000318831155)"",""Brown, Jessica C. [Oregon State Univ., Corvallis, OR (United States)]"",""Nyman, May [Oregon State Univ., Corvallis, OR (United States)]""",2022-07-04T00:00:00Z,"""Univ. of Notre Dame, IN (United States)""",Journal Article,Accepted Manuscript,Inorganic Chemistry
"""Breton, Logan S. [Department of Chemistry and Biochemistry, University of South Carolina, 631 Sumter Street, Columbia, SC, USA]"",""Morrison, Gregory [Department of Chemistry and Biochemistry, University of South Carolina, 631 Sumter Street, Columbia, SC, USA]"",""Lacroix, Matthew R. [Department of Chemistry, University of Houston, Houston, TX, USA]"",""Halasyamani, P. Shiv [Department of Chemistry, University of Houston, Houston, TX, USA]"",""zur Loye, Hans-Conrad [Department of Chemistry and Biochemistry, University of South Carolina, 631 Sumter Street, Columbia, SC, USA] (ORCID:0000000173519098)""",2022-07-14T00:00:00Z,,Journal Article,Publisher's Accepted Manuscript,ChemComm
"""Seshadri, Arunkumar (ORCID:0000000313883810)"",""Jokisaari, Andrea M."",""Sun, Cheng (ORCID:0000000341048898)""",2022-06-09T00:00:00Z,,Journal Article,Published Article,Materials
"""Kane, Joshua J [Idaho National Laboratory] (ORCID:0000000317144687)"",""Cordes, Nikolaus [Idaho National Laboratory] (ORCID:0000000333675592)"",""Chuirazzi, William C [Idaho National Laboratory] (ORCID:0000000321930744)"",""Kombaiah, Boopathy [Idaho National Laboratory]"",""Marshall, Douglas W [Idaho National Laboratory] (ORCID:0000000238210025)"",""Stempien, John D [Idaho National Laboratory] (ORCID:0000000166320785)"",""Van Rooyen, Isabella J [Idaho National Laboratory] (ORCID:000000018524938X)""",2022-07-01T00:00:00Z,"""Idaho National Lab. (INL), Idaho Falls, ID (United States)""",Journal Article,Accepted Manuscript,Journal of Nuclear Materials
"""Sadergaski, Luke R. (ORCID:0000000302482114)"",""Myhre, Kristian G."",""Delmau, Laetitia H.""",2022-08-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Published Article,Talanta Open
"""Fu, Yucheng"",""Frazier, William E."",""Choi, Kyoo Sil"",""Li, Lei"",""Xu, Zhijie"",""Joshi, Vineet V."",""Soulami, Ayoub""",2022-06-28T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Published Article,Scientific Reports
"""Kent, Greggory T. [Department of Chemistry and Biochemistry, University of California Santa Barbara, Santa Barbara, CA 93106, USA]"",""Yu, Xiaojuan [Department of Chemistry, University at Buffalo, State University of New York, Buffalo, NY 14260, USA] (ORCID:0000000194126170)"",""Wu, Guang [Department of Chemistry and Biochemistry, University of California Santa Barbara, Santa Barbara, CA 93106, USA]"",""Autschbach, Jochen [Department of Chemistry, University at Buffalo, State University of New York, Buffalo, NY 14260, USA] (ORCID:000000019392877X)"",""Hayton, Trevor W. [Department of Chemistry and Biochemistry, University of California Santa Barbara, Santa Barbara, CA 93106, USA] (ORCID:0000000343701424)""",2022-06-14T00:00:00Z,,Journal Article,Publisher's Accepted Manuscript,ChemComm
"""Hobbs, Timothy [Fermi National Accelerator Laboratory, Illinois Institute of Technology, Southern Methodist University, Thomas Jefferson National Accelerator Facility]""",2022-07-14T00:00:00Z,,Journal Article,Published Article,SciPost Physics Proceedings
"""Reimus, Paul"",""Clay, James"",""Jemison, Noah""",2022-06-02T00:00:00Z,,Journal Article,Published Article,Minerals
"""Brooks, Scott C. [ORNL] (ORCID:0000000284379788)"",""Riscassi, Ami L. [University of Virginia, Charlottesville]"",""Miller, Carrie L. [Ramapo College of New Jersey]"",""Lowe, Kenneth [ORNL]"",""Yin, Xiangping [ORNL] (ORCID:0000000294239375)"",""Mehlhorn, Tonia [ORNL] (ORCID:0000000249024084)""",2022-07-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Environmental Science: Processes & Impacts
"""Kang, Byungkyun (ORCID:000000018700903X)"",""Choi, Sangkook (ORCID:0000000291097631)"",""Kim, Hyunsoo""",2022-06-14T00:00:00Z,,Journal Article,Published Article,npj Quantum Materials
"""Cramer, Corson [ORNL] (ORCID:000000020179088X)"",""Ionescu, Emanuel [TU Darmstadt, Institute for Materials Science]"",""Graczyk zajac, Magdalena [EnBW Energie Baden-Württemberg AG, Karlsruhe]"",""Nelson, Andrew [ORNL] (ORCID:0000000240713502)"",""Kato, Yutai [ORNL] (ORCID:0000000194945862)"",""Haslam, Jeffery [Lawrence Livermore National Laboratory (LLNL)]"",""Wondraczek, Lothar [Otto Schott Institute of Materials Research]"",""LeBlanc, Saniya [George Washington University]"",""Masoudi, Mansour [Emissiol, LLC]"",""Tegeler, Ed [Emissol, LLC]"",""Riedel, Ralf [TU Darmstadt, Institute for Materials Science]"",""Colombo, Paolo [University of Padova, Department of Industrial Engineering,]"",""Minary, Majid [Arizona State University]"",""Aguirre, Trevor [ORNL] (ORCID:0000000281469630)"",""Wang, Hsin [ORNL] (ORCID:0000000324269867)""",2022-07-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Journal of the European Ceramic Society
"""Gong, Bowen [Rensselaer Polytechnic Inst., Troy, NY (United States)]"",""Yang, Kun [Rensselaer Polytechnic Inst., Troy, NY (United States)]"",""Zhao, Dong [Rensselaer Polytechnic Inst., Troy, NY (United States)]"",""Nelson, Andrew T. [Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)] (ORCID:0000000240713502)"",""Lian, Jie [Rensselaer Polytechnic Inst., Troy, NY (United States)] (ORCID:0000000290608831)""",2022-06-08T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Journal of Applied Physics
"""Weeks, Reagan D. [Univ. of Arizona, Tucson, AZ (United States)] (ORCID:000000028181510X)"",""Zhang, Yu [Univ. of Arizona, Tucson, AZ (United States)] (ORCID:0000000259618257)"",""Harilal, Sivanandan S. [Pacific Northwest National Lab. (PNNL), Richland, WA (United States)] (ORCID:0000000322667976)"",""Phillips, Mark C. [Univ. of Arizona, Tucson, AZ (United States)] (ORCID:0000000165667808)"",""Jones, R. Jason [Univ. of Arizona, Tucson, AZ (United States)] (ORCID:0000000194767883)""",2022-06-14T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Accepted Manuscript,Journal of Applied Physics
"""Pan, Horng-Bin (ORCID:0000000240880298)"",""Strivens, Jonathan E."",""Kuo, Li-Jung (ORCID:0000000313197394)"",""Wai, Chien M. (ORCID:0000000265898355)""",2022-05-16T00:00:00Z,"""Pacific Northwest National Lab. (PNNL), Richland, WA (United States)""",Journal Article,Published Article,Metals
"""Arbova, D. L. [Department of Chemistry, University of Missouri, Columbia, MO 65211, USA]"",""Tolmachev, S. Y. [United States Transuranium and Uranium Registries, College of Pharmacy and Pharmaceutical Sciences, Washington State University, Richland, WA 99354, USA] (ORCID:000000030077106X)"",""Brockman, J. D. [Department of Chemistry, University of Missouri, Columbia, MO 65211, USA, Research Reactor, University of Missouri, Columbia, MO 65211, USA] (ORCID:0000000174195558)""",2022-06-08T00:00:00Z,,Journal Article,Publisher's Accepted Manuscript,Journal of Analytical Atomic Spectrometry
"""Goodwin, Conrad A. P. [Department of Chemistry and Centre for Radiochemistry Research, The University of Manchester, Oxford Road, Manchester M13 9PL, U.K., Chemistry Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, United States] (ORCID:0000000243202548)"",""Wooles, Ashley J. [Department of Chemistry and Centre for Radiochemistry Research, The University of Manchester, Oxford Road, Manchester M13 9PL, U.K.] (ORCID:0000000174119627)"",""Murillo, Jesse [Chemistry Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, United States]"",""Lu, Erli [Department of Chemistry and Centre for Radiochemistry Research, The University of Manchester, Oxford Road, Manchester M13 9PL, U.K.] (ORCID:0000000206195967)"",""Boronski, Josef T. [Department of Chemistry and Centre for Radiochemistry Research, The University of Manchester, Oxford Road, Manchester M13 9PL, U.K.] (ORCID:0000000214356337)"",""Scott, Brian L. [Materials Physics and Applications Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, United States]"",""Gaunt, Andrew J. [Chemistry Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, United States] (ORCID:0000000196796020)"",""Liddle, Stephen T. [Department of Chemistry and Centre for Radiochemistry Research, The University of Manchester, Oxford Road, Manchester M13 9PL, U.K.] (ORCID:0000000199118778)""",2022-05-24T00:00:00Z,"""Univ. of Manchester (United Kingdom)""",Journal Article,Published Article,Journal of the American Chemical Society
"""Popov, Ivan A. [Theoretical Division Los Alamos National Laboratory  Los Alamos New Mexico 87545 USA, Current address: Department of Chemistry The University of Akron  Akron Ohio 44325-3601 USA] (ORCID:0000000326633685)"",""Billow, Brennan S. [Chemistry Division Los Alamos National Laboratory  MS J514 Los Alamos New Mexico 87545 USA] (ORCID:0000000275609369)"",""Carpenter, Stephanie H. [Chemistry Division Los Alamos National Laboratory  MS J514 Los Alamos New Mexico 87545 USA] (ORCID:0000000212933786)"",""Batista, Enrique R. [Theoretical Division Los Alamos National Laboratory  Los Alamos New Mexico 87545 USA] (ORCID:0000000230744022)"",""Boncella, James M. [Department of Chemistry Washington State University and Pacific Northwest National Laboratory  Pullman Washington 99164, 902 Batelle Blvd Richland Washington 99352 USA] (ORCID:000000018393392X)"",""Tondreau, Aaron M. [Chemistry Division Los Alamos National Laboratory  MS J514 Los Alamos New Mexico 87545 USA] (ORCID:0000000304405497)"",""Yang, Ping [Theoretical Division Los Alamos National Laboratory  Los Alamos New Mexico 87545 USA] (ORCID:0000000347262860)""",2022-05-11T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)""",Journal Article,Published Article,Chemistry - A European Journal
"""McKinney, Casey [ORNL] (ORCID:0000000335383614)"",""Smith, Charlyne [University of Florida]"",""Helmreich, Grant [ORNL] (ORCID:0000000330464394)"",""Gerczak, Tyler J. [ORNL] (ORCID:0000000199673579)"",""Aitkaliyeva, Assel [University of Florida]""",2022-07-01T00:00:00Z,"""Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)""",Journal Article,Accepted Manuscript,Micron
"""Rosa, Priscila F. S. (ORCID:000000023437548X)"",""Weiland, Ashley"",""Fender, Shannon S."",""Scott, Brian L. (ORCID:0000000304685396)"",""Ronning, Filip"",""Thompson, Joe D."",""Bauer, Eric D. (ORCID:0000000300171937)"",""Thomas, Sean M. (ORCID:0000000308894435)""",2022-05-23T00:00:00Z,,Journal Article,Published Article,Communications Materials
"""Kanemura, Takuji [Michigan State Univ., East Lansing, MI (United States)] (ORCID:000000033470050X)"",""LaVere, Michael [Michigan State Univ., East Lansing, MI (United States)] (ORCID:000000024540686X)"",""Madendorp, Randall [Michigan State Univ., East Lansing, MI (United States)]"",""Marti, Felix [Michigan State Univ., East Lansing, MI (United States)] (ORCID:000000022023415X)"",""Maruta, Tomofumi [Michigan State Univ., East Lansing, MI (United States)] (ORCID:0000000161714339)"",""Momozaki, Y. [Michigan State Univ., East Lansing, MI (United States)	
; Argonne National Lab. (ANL), Argonne, IL (United States)]"",""Ostroumov, P.  N. [Michigan State Univ., East Lansing, MI (United States)]"",""Plastun, Alexander  S. [Michigan State Univ., East Lansing, MI (United States)] (ORCID:0000000253511969)"",""Wei, Jie [Michigan State Univ., East Lansing, MI (United States)] (ORCID:0000000152568851)"",""Zhao, Qiang [Michigan State Univ., East Lansing, MI (United States)]""",2022-05-24T00:00:00Z,"""Argonne National Lab. (ANL), Argonne, IL (United States)""",Journal Article,Accepted Manuscript,Physical Review Letters
"""Ditter, Alex S. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)] (ORCID:0000000287331982)"",""Pacold, Joseph I. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)] (ORCID:0000000246975896)"",""Dai, Zurong [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)] (ORCID:0000000242098718)"",""Lee Davisson, M. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Vine, David [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). Advanced Light Source (ALS)] (ORCID:0000000300519980)"",""Donald, Scott B. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)]"",""Chung, Brandon W. [Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)] (ORCID:0000000263951239)"",""Shuh, David K. [Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)] (ORCID:0000000231043260)""",2022-05-16T00:00:00Z,"""Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)"",""Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)""",Journal Article,Accepted Manuscript,Journal of Vacuum Science and Technology A
"""van Veelen, Arjen [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000281763645)"",""Hickam, Sarah M. [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)]"",""Edwards, Nicholas P. [SLAC National Accelerator Lab., Menlo Park, CA (United States)]"",""Webb, Samuel M. [SLAC National Accelerator Lab., Menlo Park, CA (United States)]"",""Clark, David L. [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)]"",""Wilkerson, Marianne P. [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)] (ORCID:0000000185400465)"",""Pugmire, Alison L. [Los Alamos National Lab. (LANL), Los Alamos, NM (United States)]"",""Bargar, John R. [SLAC National Accelerator Lab., Menlo Park, CA (United States)] (ORCID:0000000193034901)""",2022-05-05T00:00:00Z,"""Los Alamos National Lab. (LANL), Los Alamos, NM (United States)"",""SLAC National Accelerator Lab., Menlo Park, CA (United States)""",Journal Article,Accepted Manuscript,Analytical Chemistry
